FID,SitePolygo,dunam,Shape_Area,parmiter,Ci,buff_area,buff_perim,STAT_1,AGE,POP15,RATE15,INDX8,RATE8,Count_,Sum_floors,Avg_floors,Sum_appart,Avg_appart,Sum_Shape_,Avg_Shape_,Sum_living,Avg_living,Sum_reside,Avg_reside,part_area
78,38,169.1482948,123218.3633,4733,0.262909419,241005.5845,9647.725283,225,1970,3579,6,-0.548627515,497,33,91,2.757575758,154,4.666666667,14732.33187,446.4342991,27079.58794,820.593574,25,0.757575758,59768.47725
79,38,169.1482948,123218.3633,4733,0.262909419,241005.5845,9647.725283,226,1970,1409,7,-0.548627515,497,58,113,1.948275862,126,2.172413793,10068.5527,173.5957362,19331.8675,333.3080603,53,0.913793103,57906.98428
80,38,169.1482948,123218.3633,4733,0.262909419,241005.5845,9647.725283,234,1998,3015,2,0.396156874,1066,0,0,0,0,0,0,0,0,0,0,0,1159.774763
81,38,169.1482948,123218.3633,4733,0.262909419,241005.5845,9647.725283,313,1998,3147,4,0.214925111,971,0,0,0,0,0,0,0,0,0,0,0,156.1934911
82,38,169.1482948,123218.3633,4733,0.262909419,241005.5845,9647.725283,214,1970,5119,5,0.00195888,824,76,255,3.355263158,524,6.894736842,14322.56821,188.4548449,58384.51753,768.2173359,71,0.934210526,75538.05845
83,38,169.1482948,123218.3633,4733,0.262909419,241005.5845,9647.725283,215,1970,1818,8,-0.20929502,690,9,10,1.111111111,9,1,922.7535685,102.5281743,1022.334628,113.5927365,9,1,3282.037767
84,30,60.12196245,43804.96797,1130,0.65658079,62361.59898,2483.773365,431,1960,3424,8,0.653496134,1189,6,24,4,48,8,917.745208,152.9575347,3670.980832,611.8301387,6,1,5755.240702
85,30,60.12196245,43804.96797,1130,0.65658079,62361.59898,2483.773365,432,1960,3569,8,-0.433758308,542,34,118,3.470588235,242,7.117647059,9057.926875,266.409614,36558.7096,1075.256165,29,0.852941176,47169.45196
86,30,60.12196245,43804.96797,1130,0.65658079,62361.59898,2483.773365,433,1960,1650,9,-0.430181584,547,12,52,4.333333333,216,18,1924.603288,160.3836073,9175.33984,764.6116533,12,1,9436.90632
87,16,1040.018658,758176.4436,8570,0.360171424,427449.3075,17071.24972,411,1993,3590,2,0.195854822,955,1,1,1,0,0,20.28416,20.28416,20.28416,20.28416,0,0,54003.58208
88,16,1040.018658,758176.4436,8570,0.360171424,427449.3075,17071.24972,613,1953,4846,2,0.516157712,1132,143,216,1.51048951,151,1.055944056,24486.18433,171.2320582,36111.61504,252.5287765,142,0.993006993,137482.9353
89,16,1040.018658,758176.4436,8570,0.360171424,427449.3075,17071.24972,614,1999,2219,8,-0.350669127,593,93,99,1.064516129,91,0.978494624,7880.096764,84.73222327,8745.481877,94.03743953,91,0.978494624,170924.036
90,16,1040.018658,758176.4436,8570,0.360171424,427449.3075,17071.24972,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11080.22418
91,14,1877.429882,1368811.433,11196,0.37043657,558011.9975,22284.90698,411,1993,3590,2,0.195854822,955,1,2,2,0,0,20.94943466,20.94943466,20.94943466,20.94943466,0,0,75376.45871
92,14,1877.429882,1368811.433,11196,0.37043657,558011.9975,22284.90698,613,1953,4846,2,0.516157712,1132,2,2,1,0,0,493.057548,246.528774,493.057548,246.528774,0,0,15483.54109
93,14,1877.429882,1368811.433,11196,0.37043657,558011.9975,22284.90698,614,1999,2219,8,-0.350669127,593,0,0,0,0,0,0,0,0,0,0,0,3962.324584
94,14,1877.429882,1368811.433,11196,0.37043657,558011.9975,22284.90698,621,1968,547,0,0,0,69,84,1.217391304,0,0,107008.5995,1550.849267,107008.5995,1550.849267,0,0,366739.6346
95,10,1236.853464,901318.5701,4897,0.687248796,250710.7026,10044.38922,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78020.1982
96,8,345.1253328,251417.6042,2482,0.716145054,130974.1925,5239.90948,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5828.993838
97,8,345.1253328,251417.6042,2482,0.716145054,130974.1925,5239.90948,642,1998,4819,1,0.405114712,1072,0,0,0,0,0,0,0,0,0,0,0,79574.11367
98,8,345.1253328,251417.6042,2482,0.716145054,130974.1925,5239.90948,643,1998,5310,1,0.893158116,1299,0,0,0,0,0,0,0,0,0,0,0,6006.390585
99,4,175.1808226,127576.7305,2689,0.470868745,138705.667,5550.158166,111,1957,2339,9,-0.934080774,315,0,0,0,0,0,0,0,0,0,0,0,911.4175766
100,4,175.1808226,127576.7305,2689,0.470868745,138705.667,5550.158166,122,1957,1146,9,-0.437713933,540,1,2,2,0,0,512.7393497,512.7393497,512.7393497,512.7393497,0,0,5345.84993
101,4,175.1808226,127576.7305,2689,0.470868745,138705.667,5550.158166,641,1998,3007,3,0.237566865,985,60,123,2.05,87,1.45,6090.027099,101.5004517,13530.87081,225.5145135,57,0.95,52271.27948
102,4,175.1808226,127576.7305,2689,0.470868745,138705.667,5550.158166,642,1998,4819,1,0.405114712,1072,22,63,2.863636364,118,5.363636364,4758.547233,216.2976015,14302.63303,650.1196834,22,1,23415.40158
103,4,175.1808226,127576.7305,2689,0.470868745,138705.667,5550.158166,644,2002,1301,2,1.612326804,1514,0,0,0,0,0,0,0,0,0,0,0,3698.295182
104,4,175.1808226,127576.7305,2689,0.470868745,138705.667,5550.158166,645,2002,14133,3,0.727673958,1226,9,43,4.777777778,86,9.555555556,3472.524874,385.8360971,16851.48455,1872.387172,9,1,23118.98747
105,3,445.6542324,324498.3646,4276,0.472251658,219128.5416,8775.11,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3256.556894
106,3,445.6542324,324498.3646,4276,0.472251658,219128.5416,8775.11,122,1957,1146,9,-0.437713933,540,0,0,0,0,0,0,0,0,0,0,0,282.5530416
107,3,445.6542324,324498.3646,4276,0.472251658,219128.5416,8775.11,641,1998,3007,3,0.237566865,985,0,0,0,0,0,0,0,0,0,0,0,2438.148813
108,3,445.6542324,324498.3646,4276,0.472251658,219128.5416,8775.11,645,2002,14133,3,0.727673958,1226,63,125,1.984126984,130,2.063492063,11068.38816,175.688701,23667.23449,375.6703888,54,0.857142857,144729.0856
109,5,324.6979532,236435.898,3934,0.438154508,203333.2082,8135.126815,642,1998,4819,1,0.405114712,1072,0,0,0,0,0,0,0,0,0,0,0,6409.416463
110,5,324.6979532,236435.898,3934,0.438154508,203333.2082,8135.126815,644,2002,1301,2,1.612326804,1514,0,0,0,0,0,0,0,0,0,0,0,92718.08974
