sindex,SiteNum,Spname,LocalRisk,statusredBook,TEX
4,2,עפרוני פסגות,"CR (A2acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
4,6,עפרוני פסגות,"CR (A2acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
4,18,עפרוני פסגות,"CR (A2acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
4,47,עפרוני פסגות,"CR (A2acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
5,18,שנונית באר-שבע,‎CR (A2ce)‎,סכנת הכחדה,reptiles
5,19,שנונית באר-שבע,‎CR (A2ce)‎,סכנת הכחדה,reptiles
5,28,שנונית באר-שבע,‎CR (A2ce)‎,סכנת הכחדה,reptiles
6,40,זמירון,"CR (B1+2abcde,C2a,D)",סכנת הכחדה,poultry
7,11,חופמי גדות,"CR (B1+3abcd,C2ab)",סכנת הכחדה,poultry
7,21,חופמי גדות,"CR (B1+3abcd,C2ab)",סכנת הכחדה,poultry
8,1,בזבוז אירופי,DD,חסר מידע,poultry
8,2,בזבוז אירופי,DD,חסר מידע,poultry
8,6,בזבוז אירופי,DD,חסר מידע,poultry
8,10,בזבוז אירופי,DD,חסר מידע,poultry
8,11,בזבוז אירופי,DD,חסר מידע,poultry
8,16,בזבוז אירופי,DD,חסר מידע,poultry
8,22,בזבוז אירופי,DD,חסר מידע,poultry
8,27,בזבוז אירופי,DD,חסר מידע,poultry
8,28,בזבוז אירופי,DD,חסר מידע,poultry
8,37,בזבוז אירופי,DD,חסר מידע,poultry
8,40,בזבוז אירופי,DD,חסר מידע,poultry
8,46,בזבוז אירופי,DD,חסר מידע,poultry
8,47,בזבוז אירופי,DD,חסר מידע,poultry
9,1,זמיר הירדן,DD,חסר מידע,poultry
9,2,זמיר הירדן,DD,חסר מידע,poultry
9,6,זמיר הירדן,DD,חסר מידע,poultry
9,7,זמיר הירדן,DD,חסר מידע,poultry
9,9,זמיר הירדן,DD,חסר מידע,poultry
9,10,זמיר הירדן,DD,חסר מידע,poultry
9,11,זמיר הירדן,DD,חסר מידע,poultry
9,14,זמיר הירדן,DD,חסר מידע,poultry
9,15,זמיר הירדן,DD,חסר מידע,poultry
9,16,זמיר הירדן,DD,חסר מידע,poultry
9,18,זמיר הירדן,DD,חסר מידע,poultry
9,19,זמיר הירדן,DD,חסר מידע,poultry
9,21,זמיר הירדן,DD,חסר מידע,poultry
9,22,זמיר הירדן,DD,חסר מידע,poultry
9,23,זמיר הירדן,DD,חסר מידע,poultry
9,24,זמיר הירדן,DD,חסר מידע,poultry
9,27,זמיר הירדן,DD,חסר מידע,poultry
